ID,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Year,Month,Hour,Day_of_Week
A-1828277,2019-11-18 08:59:27,32.806572,-96.840332,Dallas,TX,51.0,2019,11,8,Monday
A-4106065,2022-11-15 13:59:00,30.412138,-91.080348,Baton Rouge,LA,50.0,2022,11,13,Tuesday
A-4219159,2022-01-28 07:09:30,33.855694,-117.787199,Anaheim,CA,54.0,2022,1,7,Friday
A-618064,2022-05-18 17:34:09,36.15332,-95.922523,Tulsa,OK,89.0,2022,5,17,Wednesday
A-2698194,2018-07-11 07:48:21,28.346886,-81.673508,Davenport,FL,78.8,2018,7,7,Wednesday
A-888012,2021-09-22 07:30:15,46.45237,-92.969879,Kettle River,MN,,2021,9,7,Wednesday
A-2205084,2019-03-06 17:43:14,33.55299,-112.058746,Phoenix,AZ,81.0,2019,3,17,Wednesday
A-2026512,2019-08-16 10:29:08,41.047195,-73.803398,White Plains,NY,75.0,2019,8,10,Friday
A-1733157,2019-12-23 06:59:03,34.50687,-81.936279,Laurens,SC,45.0,2019,12,6,Monday
A-6688283,2020-10-16 13:17:30,25.909895,-80.236127,Opa Locka,FL,87.0,2020,10,13,Friday
A-3405329,2017-08-28 13:31:14,35.844048,-78.614098,Raleigh,NC,77.0,2017,8,13,Monday
A-4354607,2022-07-03 14:32:03,32.852409,-96.672823,Dallas,TX,96.0,2022,7,14,Sunday
A-800002,2021-11-30 05:26:12,35.076744,-89.95121800000004,Memphis,TN,45.0,2021,11,5,Tuesday
A-2597015,2018-09-20 08:02:11,35.97736,-86.56235500000004,Smyrna,TN,73.0,2018,9,8,Thursday
A-5477043,2021-12-27 04:19:30,39.51748967151872,-119.63230490627464,Sparks,NV,30.0,2021,12,4,Monday
A-1105444,2021-03-26 20:56:53,36.765781,-119.77771,Fresno,CA,63.0,2021,3,20,Friday
A-4343764,2022-04-05 03:39:23,40.605468,-74.314054,Colonia,NJ,42.0,2022,4,3,Tuesday
A-3260760,2017-10-23 09:16:37,41.873112,-71.39057199999998,Pawtucket,RI,53.6,2017,10,9,Monday
A-5685276,2021-12-22 13:03:45,35.149711,-80.834503,Charlotte,NC,59.0,2021,12,13,Wednesday
A-2780512,2018-06-25 07:47:40,35.861828,-78.54888199999998,Raleigh,NC,75.9,2018,6,7,Monday
A-2541381,2018-10-24 06:38:03,35.754738,-109.627014,Ganado,AZ,39.0,2018,10,6,Wednesday
A-3779719,2022-07-15 08:48:30,41.575638,-87.26675300000002,Lake Station,IN,68.0,2022,7,8,Friday
A-2511338,2018-10-11 16:44:39,42.319405,-87.856148,North Chicago,IL,48.0,2018,10,16,Thursday
A-461322,2017-06-16 13:33:50,34.071758,-118.09948,Rosemead,CA,95.0,2017,6,13,Friday
A-6972285,2020-11-18 21:34:03,40.246342,-75.647348,Pottstown,PA,23.0,2020,11,21,Wednesday
A-2664143,2018-08-23 15:40:49,34.989628,-82.24294300000003,Greer,SC,81.0,2018,8,15,Thursday
A-4768026,2023-01-14 15:44:00,42.96671,-85.6722,Grand Rapids,MI,31.0,2023,1,15,Saturday
A-5819401,2021-11-10 18:21:00,28.330924,-82.678113,Hudson,FL,69.0,2021,11,18,Wednesday
A-917941,2021-08-31 18:06:28,41.850979,-71.40862299999998,Providence,RI,75.0,2021,8,18,Tuesday
A-7037968,2020-05-19 14:16:20,39.1475,-84.53904,Cincinnati,OH,64.0,2020,5,14,Tuesday
A-3359748,2017-08-06 17:03:27,35.156223,-89.879974,Memphis,TN,80.1,2017,8,17,Sunday
A-691227,2022-03-02 16:29:18,37.239342,-81.10619399999999,Bastian,VA,59.0,2022,3,16,Wednesday
A-1351776,2020-10-21 21:00:31,33.940735,-117.261536,Moreno Valley,CA,62.0,2020,10,21,Wednesday
A-4047219,2022-11-23 13:39:00,38.971164,-77.179063,Cabin John,MD,62.0,2022,11,13,Wednesday
A-3721202,2022-12-30 20:32:56,41.77234769,-87.90726542,La Grange,IL,35.0,2022,12,20,Friday
A-579770,2022-06-29 16:47:09,36.649361,-82.08602900000002,Bristol,VA,87.0,2022,6,16,Wednesday
A-5459919,2023-02-23 14:49:00,36.98759,-121.969538,Soquel,CA,49.0,2023,2,14,Thursday
A-6721378,2020-12-26 03:30:00,37.187537,-120.971608,Gustine,CA,52.0,2020,12,3,Saturday
A-4841569,2022-02-25 16:46:21,42.387796640194,-122.38174080790336,Butte Falls,OR,56.0,2022,2,16,Friday
A-3270441,2017-10-26 12:33:05,32.155109,-111.106033,Tucson,AZ,89.6,2017,10,12,Thursday
A-6902354,2020-11-24 17:28:06,46.885085,-114.039245,Missoula,MT,32.0,2020,11,17,Tuesday
A-562328,2022-07-19 08:54:42,41.649418,-72.672035,Rocky Hill,CT,79.0,2022,7,8,Tuesday
A-2757150,2018-06-12 06:06:44,33.412071000000005,-86.758507,Birmingham,AL,69.1,2018,6,6,Tuesday
A-821718,2021-11-12 16:58:22,29.53054,-95.1325,Webster,TX,73.0,2021,11,16,Friday
A-5074227,2022-10-01 12:38:00,38.860254,-77.219886,Falls Church,VA,60.0,2022,10,12,Saturday
A-6878800,2020-09-14 02:20:00,40.864838,-74.42056,Parsippany,NJ,70.0,2020,9,2,Monday
A-7348608,2019-10-20 13:13:00,32.88428,-117.22787,La Jolla,CA,80.0,2019,10,13,Sunday
A-3253940,2017-10-18 06:36:52,33.884083000000004,-117.637878,Corona,CA,55.0,2017,10,6,Wednesday
A-1273647,2020-11-10 11:14:49,32.919033,-96.766014,Dallas,TX,73.0,2020,11,11,Tuesday
A-3438321,2016-08-08 14:17:47,41.648481,-93.773213,Urbandale,IA,80.1,2016,8,14,Monday
A-3575266,2017-02-28 17:50:56,41.8079,-88.07599,Lisle,IL,59.0,2017,2,17,Tuesday
A-6764371,2020-11-24 00:01:00,34.003793,-118.277515,Los Angeles,CA,54.0,2020,11,0,Tuesday
A-922294,2021-08-27 10:00:46,44.948635,-92.959137,Saint Paul,MN,70.0,2021,8,10,Friday
A-6838986,2020-12-16 08:52:00,30.507696000000006,-87.326374,Pensacola,FL,55.0,2020,12,8,Wednesday
A-6206062,2021-09-28 19:40:00,36.053452,-86.672874,Antioch,TN,75.0,2021,9,19,Tuesday
A-5061653,2023-01-25 05:50:38,37.712126,-89.894184,Perryville,MO,32.0,2023,1,5,Wednesday
A-1905699,2019-09-11 09:42:59,34.501141,-82.251427,Honea Path,SC,81.0,2019,9,9,Wednesday
A-5438044,2023-01-24 07:28:00,27.713609,-82.679349,Saint Petersburg,FL,56.0,2023,1,7,Tuesday
A-2985852,2018-02-02 06:44:22,35.730362,-81.364487,Hickory,NC,36.0,2018,2,6,Friday
A-3212023,2017-11-28 07:54:17,39.652641,-104.91803,Denver,CO,36.0,2017,11,7,Tuesday
A-6207778,2021-12-17 07:57:00,40.260619,-121.32791,Chester,CA,32.0,2021,12,7,Friday
A-4080036,2022-05-20 13:09:30,39.536568,-119.807728,Reno,NV,56.0,2022,5,13,Friday
A-2418906,2018-12-28 04:23:54,26.54697,-81.788338,Fort Myers,FL,68.0,2018,12,4,Friday
A-23431,2016-10-06 15:20:01,37.588497,-122.246201,San Mateo,CA,75.2,2016,10,15,Thursday
A-3407996,2017-08-29 14:47:46,35.442863,-80.87487,Huntersville,NC,71.6,2017,8,14,Tuesday
A-4566219,2022-04-26 19:27:30,25.572286,-80.377155,Miami,FL,75.0,2022,4,19,Tuesday
A-1279525,2020-11-05 18:41:14,40.768085,-73.705917,Great Neck,NY,60.0,2020,11,18,Thursday
A-7046278,2020-05-22 19:22:59,35.62364,-97.54953,Edmond,OK,85.0,2020,5,19,Friday
A-1949686,2019-07-03 08:02:20,44.218197,-88.544151,Neenah,WI,72.0,2019,7,8,Wednesday
A-5572285,2021-03-14 07:35:08,32.544849,-80.744343,Seabrook,SC,56.0,2021,3,7,Sunday
A-3878312,2022-08-21 19:49:00,33.898136,-118.105141,Norwalk,CA,73.0,2022,8,19,Sunday
A-3029543,2018-02-23 04:01:54,39.013489,-77.042068,Silver Spring,MD,39.2,2018,2,4,Friday
A-2348809,2019-01-21 08:18:41,38.21022,-85.665741,Louisville,KY,10.0,2019,1,8,Monday
A-6851907,2020-12-03 00:44:00,43.059129,-77.523333,Pittsford,NY,37.0,2020,12,0,Thursday
A-4001676,2022-08-25 15:29:00,34.998845,-79.21909000000002,Raeford,NC,80.0,2022,8,15,Thursday
A-7770178,2019-08-07 22:06:00,40.7375,-111.55587,Park City,UT,,2019,8,22,Wednesday
A-6584403,2020-11-11 18:36:00,30.232016,-97.765992,Austin,TX,73.0,2020,11,18,Wednesday
A-4569685,2022-04-14 18:09:01,32.676218,-96.857926,Dallas,TX,74.0,2022,4,18,Thursday
A-1302223,2020-09-17 10:20:28,35.76792899999999,-78.574097,Raleigh,NC,70.0,2020,9,10,Thursday
A-211288,2016-10-12 06:44:02,42.523651,-70.996178,Peabody,MA,41.0,2016,10,6,Wednesday
A-173846,2016-10-03 18:27:58,42.46616,-88.01715899999998,Antioch,IL,55.9,2016,10,18,Monday
A-7472482,2019-01-30 13:39:33,36.74061,-121.65862,Salinas,CA,61.0,2019,1,13,Wednesday
A-652658,2022-04-12 18:36:11,35.46244,-80.737648,Concord,NC,73.0,2022,4,18,Tuesday
A-3643813,2017-07-16 03:32:57,41.7009,-70.119828,Harwich,MA,69.1,2017,7,3,Sunday
A-1264303,2020-11-16 07:10:22,33.8778,-80.696442,Eastover,SC,44.0,2020,11,7,Monday
A-1662444,2020-02-21 09:13:17,33.901825,-117.46671299999998,Riverside,CA,66.0,2020,2,9,Friday
A-389267,2017-03-08 09:09:36,30.315893,-97.662956,Austin,TX,61.0,2017,3,9,Wednesday
A-7016415,2020-05-08 17:52:23,40.25772,-75.65619000000002,Pottstown,PA,44.0,2020,5,17,Friday
A-4886964,2022-11-20 14:09:00,33.967172999999995,-118.229834,Huntington Park,CA,79.0,2022,11,14,Sunday
A-6534956,2021-01-02 10:30:03,32.907067,-96.728514,Dallas,TX,45.0,2021,1,10,Saturday
A-6924603,2020-11-23 22:42:40,29.983375,-95.286175,Humble,TX,54.0,2020,11,22,Monday
A-5243418,2022-04-23 22:29:00,41.709579,-75.67062299999998,Kingsley,PA,57.0,2022,4,22,Saturday
A-7360798,2019-10-29 05:25:00,33.93918,-117.172352,Moreno Valley,CA,36.0,2019,10,5,Tuesday
A-5669146,2021-12-22 18:48:30,37.649617,-77.602522,Glen Allen,VA,45.0,2021,12,18,Wednesday
A-3436107,2016-10-05 16:24:58,29.72523,-95.46022,Houston,TX,84.2,2016,10,16,Wednesday
A-5907165,2021-04-15 07:32:30,35.536497,-82.604042,Asheville,NC,52.0,2021,4,7,Thursday
A-181598,2016-12-28 08:08:27,42.963123,-85.673698,Grand Rapids,MI,24.1,2016,12,8,Wednesday
A-6956384,2020-11-06 05:59:41,29.725431,-95.476394,Houston,TX,60.0,2020,11,5,Friday
A-2913171,2018-04-27 13:46:21,35.017399,-85.294159,Chattanooga,TN,70.0,2018,4,13,Friday
A-6132404,2021-07-10 20:18:43,27.853738,-82.63884300000002,Saint Petersburg,FL,88.0,2021,7,20,Saturday
A-6116481,2021-10-14 05:19:30,39.335278,-77.377608,Frederick,MD,63.0,2021,10,5,Thursday
A-4135044,2022-03-23 06:12:30,39.225668,-76.717054,Halethorpe,MD,49.0,2022,3,6,Wednesday
A-6023074,2021-09-17 10:40:00,29.77035,-90.815397,Thibodaux,LA,86.0,2021,9,10,Friday
A-2139051,2019-05-02 10:33:36,36.152351,-86.769012,Nashville,TN,79.0,2019,5,10,Thursday
A-7634757,2018-01-18 13:38:29,32.910713,-80.02770699999998,Charleston,SC,45.0,2018,1,13,Thursday
A-3485687,2016-08-01 18:43:59,42.66177,-88.93387,Janesville,WI,82.4,2016,8,18,Monday
A-5753027,2021-06-04 16:51:51,43.955924,-91.658064,Winona,MN,95.0,2021,6,16,Friday
A-6241884,2021-08-28 16:29:30,38.992518,-76.986915,Silver Spring,MD,86.0,2021,8,16,Saturday
A-3626046,2017-07-06 12:28:46,44.95143,-93.02203,Saint Paul,MN,87.1,2017,7,12,Thursday
A-4856551,2022-04-29 17:40:43,34.114745,-80.888674,Columbia,SC,78.0,2022,4,17,Friday
A-747114,2022-01-14 16:10:26,36.144241,-86.695099,Nashville,TN,52.0,2022,1,16,Friday
A-2266468,2019-02-05 02:26:28,33.968304,-117.848915,Diamond Bar,CA,44.6,2019,2,2,Tuesday
A-1649065,2020-02-14 12:21:17,34.899978999999995,-82.315071,Taylors,SC,51.0,2020,2,12,Friday
A-7350093,2019-10-21 15:26:00,33.876717,-118.185972,Long Beach,CA,93.0,2019,10,15,Monday
A-2191438,2019-04-26 03:22:15,37.903481,-122.070457,Walnut Creek,CA,55.0,2019,4,3,Friday
A-1019937,2021-06-03 09:13:40,37.552509,-122.308151,San Mateo,CA,59.0,2021,6,9,Thursday
A-1305559,2020-09-19 19:58:28,27.581997,-82.582634,Palmetto,FL,83.0,2020,9,19,Saturday
A-1284132,2020-11-03 22:21:46,32.267025,-86.354919,Montgomery,AL,46.0,2020,11,22,Tuesday
A-5617699,2021-11-04 06:17:30,34.044825,-118.216047,Los Angeles,CA,59.0,2021,11,6,Thursday
A-874856,2021-10-05 15:16:57,39.160149,-94.49691,Kansas City,MO,73.0,2021,10,15,Tuesday
A-3368057,2017-08-10 12:44:59,40.736889,-73.582993,East Meadow,NY,81.0,2017,8,12,Thursday
A-6359872,2021-02-17 05:42:30,27.300548,-82.49762700000002,Sarasota,FL,59.0,2021,2,5,Wednesday
A-5858166,2021-03-15 18:08:33,45.251899,-92.921169,Forest Lake,MN,30.0,2021,3,18,Monday
A-6525519,2021-01-05 17:15:27,25.887117,-80.12218399999998,Miami Beach,FL,66.0,2021,1,17,Tuesday
A-3185055,2017-11-14 09:07:47,29.701569,-95.371841,Houston,TX,68.0,2017,11,9,Tuesday
A-229976,2016-12-07 18:45:30,40.382397,-75.390701,Green Lane,PA,35.6,2016,12,18,Wednesday
A-6534097,2021-02-14 04:01:00,33.62858176215349,-113.75318169539568,Roll,AZ,56.0,2021,2,4,Sunday
A-782379,2021-12-13 10:55:05,37.863491,-122.035759,Alamo,CA,54.0,2021,12,10,Monday
A-7054006,2020-06-23 14:54:00,34.072786,-118.466447,Los Angeles,CA,69.0,2020,6,14,Tuesday
A-5973856,2021-12-14 13:57:00,35.199543,-119.003201,Bakersfield,CA,45.0,2021,12,13,Tuesday
A-1479112,2020-05-22 20:14:15,32.359821000000004,-86.245003,Montgomery,AL,70.0,2020,5,20,Friday
A-1443217,2020-07-01 18:47:23,42.379162,-83.21620899999998,Detroit,MI,84.0,2020,7,18,Wednesday
A-4812773,2022-04-23 02:18:42,37.894206,-104.829116,Rye,CO,23.0,2022,4,2,Saturday
A-7014784,2020-05-07 08:59:20,36.16787,-86.82079,Nashville,TN,58.0,2020,5,8,Thursday
A-1358645,2020-10-26 08:18:05,39.599613,-119.837349,Reno,NV,23.0,2020,10,8,Monday
A-7015498,2020-05-06 21:50:00,35.358807,-118.932003,Bakersfield,CA,69.0,2020,5,21,Wednesday
A-6465354,2021-02-22 10:08:41,39.46047100000001,-77.512183,Middletown,MD,34.0,2021,2,10,Monday
A-6499733,2021-01-22 23:22:06,27.755024,-82.725167,Saint Petersburg,FL,64.0,2021,1,23,Friday
A-5485856,2021-12-10 07:51:00,34.201121,-118.471025,Van Nuys,CA,51.0,2021,12,7,Friday
A-4850820,2022-01-21 06:37:52,39.145284,-77.66999,Hamilton,VA,18.0,2022,1,6,Friday
A-5240831,2022-08-20 14:58:32,43.022284,-78.13764300000003,Batavia,NY,88.0,2022,8,14,Saturday
A-4185842,2022-04-21 17:36:01,28.447594,-81.47094200000002,Orlando,FL,77.0,2022,4,17,Thursday
A-276494,2016-11-03 18:00:43,30.339247,-97.687286,Austin,TX,70.0,2016,11,18,Thursday
A-2545073,2018-10-26 10:52:08,40.853439,-73.96347,Fort Lee,NJ,43.0,2018,10,10,Friday
A-6756262,2020-12-16 15:58:00,36.703676,-119.7274,Fresno,CA,57.0,2020,12,15,Wednesday
A-1499141,2020-06-09 12:32:35,40.00935,-74.85096,Mount Holly,NJ,,2020,6,12,Tuesday
A-3527080,2016-12-16 09:50:46,34.052609999999994,-118.22647,Los Angeles,CA,57.9,2016,12,9,Friday
A-2504783,2018-10-08 06:52:25,33.841877000000004,-80.731941,Gadsden,SC,72.0,2018,10,6,Monday
A-3984735,2022-12-22 08:27:38,40.00084519,-75.82346319999998,Coatesville,PA,30.0,2022,12,8,Thursday
A-5582764,2021-09-10 13:02:00,37.52149,-109.4941,Blanding,UT,84.0,2021,9,13,Friday
A-4478841,2022-05-17 12:29:30,32.829341,-96.8257,Dallas,TX,88.0,2022,5,12,Tuesday
A-6515654,2021-01-30 20:51:07,44.836718,-93.398278,Minneapolis,MN,31.0,2021,1,20,Saturday
A-4098454,2022-09-05 07:38:00,29.354818,-98.527266,San Antonio,TX,73.0,2022,9,7,Monday
A-5909176,2021-08-29 12:17:30,37.50281,-77.722326,Midlothian,VA,82.0,2021,8,12,Sunday
A-5150158,2022-12-06 08:02:00,33.899216,-84.47131800000002,Atlanta,GA,46.0,2022,12,8,Tuesday
A-1405375,2020-07-30 07:49:20,33.364574,-82.076797,Hephzibah,GA,78.0,2020,7,7,Thursday
A-5474541,2021-12-12 16:25:30,30.180986,-81.7396,Orange Park,FL,63.0,2021,12,16,Sunday
A-6399694,2021-02-09 21:12:33,45.506433,-122.715429,Portland,OR,36.0,2021,2,21,Tuesday
A-241773,2016-11-14 07:58:08,40.072372,-76.268105,Lancaster,PA,28.9,2016,11,7,Monday
A-6922951,2020-11-03 04:16:00,33.807169,-118.207023,Long Beach,CA,60.0,2020,11,4,Tuesday
A-4436136,2022-02-26 21:03:30,34.042949,-118.272635,Los Angeles,CA,53.0,2022,2,21,Saturday
A-2398318,2018-12-14 16:13:26,30.394621,-97.706596,Austin,TX,52.0,2018,12,16,Friday
A-6439570,2021-02-20 13:49:00,37.758668,-122.212405,Oakland,CA,62.0,2021,2,13,Saturday
A-492874,2017-07-21 20:45:53,37.585072,-121.872681,Sunol,CA,64.9,2017,7,20,Friday
A-3946680,2022-06-01 10:45:35,43.870013,-95.114077,Windom,MN,64.0,2022,6,10,Wednesday
A-7549796,2018-08-17 14:57:14,37.163121,-121.664068,Morgan Hill,CA,95.0,2018,8,14,Friday
A-7209374,2020-03-03 09:21:02,39.78431,-105.11665,Wheat Ridge,CO,39.0,2020,3,9,Tuesday
A-3177021,2017-11-09 08:51:36,31.291983,-89.303436,Hattiesburg,MS,53.1,2017,11,8,Thursday
A-2490733,2018-10-01 09:38:31,45.576553,-122.643944,Portland,OR,64.0,2018,10,9,Monday
A-1448137,2020-05-26 11:24:26,41.857899,-88.138573,Wheaton,IL,80.0,2020,5,11,Tuesday
A-5457713,2022-12-16 18:24:25,41.35087,-81.490338,Bedford,OH,37.0,2022,12,18,Friday
A-230519,2016-12-12 08:00:13,38.910633,-77.21751400000002,Mc Lean,VA,45.0,2016,12,8,Monday
A-6227648,2021-12-08 19:39:44,44.114427,-121.291871,Bend,OR,36.0,2021,12,19,Wednesday
A-1713289,2019-12-12 14:26:14,34.024059,-117.335464,Colton,CA,73.0,2019,12,14,Thursday
A-3622164,2017-05-22 08:56:17,37.40328,-122.04709,Mountain View,CA,62.1,2017,5,8,Monday
A-529943,2022-08-23 03:40:33,34.130871,-117.92896299999998,Azusa,CA,66.0,2022,8,3,Tuesday
A-3440527,2016-08-31 08:46:13,29.66438,-95.4639,Houston,TX,89.6,2016,8,8,Wednesday
A-4429055,2022-09-26 16:46:26,33.586732,-84.510786,Atlanta,GA,80.0,2022,9,16,Monday
A-1958987,2019-07-09 06:57:41,39.011238,-122.895859,Lakeport,CA,54.0,2019,7,6,Tuesday
A-5509112,2021-10-08 13:14:00,40.42525,-123.158207,Hayfork,CA,,2021,10,13,Friday
A-2249787,2019-02-28 10:23:29,25.94183,-80.350319,Hialeah,FL,75.0,2019,2,10,Thursday
A-5877652,2021-06-01 12:23:00,38.500721,-122.757702,Santa Rosa,CA,79.0,2021,6,12,Tuesday
A-6774037,2020-10-17 22:08:00,38.395725,-122.357085,Napa,CA,69.0,2020,10,22,Saturday
A-3181185,2017-11-13 15:12:42,41.817032,-71.398689,Providence,RI,39.9,2017,11,15,Monday
A-6097056,2021-12-13 15:07:00,35.215731,-80.84637,Charlotte,NC,58.0,2021,12,15,Monday
A-3423996,2016-06-06 23:22:07,33.955890000000004,-118.30026,Los Angeles,CA,60.1,2016,6,23,Monday
A-4026073,2022-12-20 18:02:30,45.318466,-111.785913,Ennis,MT,25.0,2022,12,18,Tuesday
A-6716091,2020-11-05 01:24:00,44.552791,-121.167887,Culver,OR,59.0,2020,11,1,Thursday
A-5370958,2022-09-12 13:59:00,39.955773,-76.718532,York,PA,83.0,2022,9,13,Monday
A-2518631,2018-10-15 06:47:18,41.892159,-87.652725,Chicago,IL,37.9,2018,10,6,Monday
A-7209106,2020-03-03 09:47:14,42.48116,-83.44126999999997,Novi,MI,38.0,2020,3,9,Tuesday
A-5290650,2022-11-20 02:29:00,33.708014,-84.204806,Decatur,GA,40.0,2022,11,2,Sunday
A-3278680,2017-08-31 06:51:38,32.924423,-96.769058,Dallas,TX,69.8,2017,8,6,Thursday
A-1869521,2019-09-20 16:33:35,41.058548,-73.828552,Elmsford,NY,77.0,2019,9,16,Friday
A-3332198,2017-09-25 05:47:05,34.34729,-117.46883400000002,Phelan,CA,48.0,2017,9,5,Monday
A-2429780,2018-11-02 06:10:35,47.232819,-122.436134,Tacoma,WA,55.4,2018,11,6,Friday
A-2905519,2018-04-24 19:25:44,27.967489,-82.56750500000003,Rocky Point,FL,72.0,2018,4,19,Tuesday
A-3911120,2022-04-01 14:21:35,25.890073,-80.190478,North Miami,FL,86.0,2022,4,14,Friday
A-6760193,2020-12-16 22:38:23,35.252563,-80.734501,Charlotte,NC,37.0,2020,12,22,Wednesday
A-257035,2016-06-24 16:18:24,40.161396,-75.47995,Collegeville,PA,80.1,2016,6,16,Friday
